naslov,izvajalec,url,kljuc,bpm,capo,leto,zanr,uporabljeni_akordi,zaporedje_akordov,stevilo_razlicnih_akordov,dolzina_zaporedja
Perfect,Ed Sheeran,https://guitartuna.com/chords/perfect-ed-sheeran-easy-guitar-chords-611f7c02cd3a04639ab518e3,Ab major,95,1,2017,Pop,"['G', 'Em', 'C', 'D']","['G', 'G', 'Em', 'C', 'D', 'G', 'Em', 'C', 'D', 'G', 'Em', 'C', 'G', 'D', 'G', 'Em', 'C', 'D', 'Em', 'C', 'G', 'D', 'Em', 'C', 'G', 'D', 'Em', 'C', 'G', 'D', 'Em', 'C', 'G', 'D', 'G', 'D', 'Em', 'D', 'C', 'D', 'G', 'Em', 'C', 'D', 'G', 'Em', 'C', 'D', 'G', 'Em', 'C', 'G', 'D', 'G', 'Em', 'C', 'D', 'Em', 'C', 'G', 'D', 'Em', 'C', 'G', 'D', 'Em', 'C', 'G', 'D', 'Em', 'C', 'G', 'D', 'G', 'Em', 'C', 'D', 'Em', 'C', 'G', 'D', 'Em', 'C', 'G', 'D', 'Em', 'C', 'G', 'D', 'Em', 'C', 'G', 'D', 'C', 'D', 'G', 'D', 'Em', 'D', 'C', 'D', 'G']",4,102
Yellow,Coldplay,https://guitartuna.com/chords/yellow-coldplay-easy-guitar-chords-61924f5945160627b71a1460,B major,87,4,2000,Rock,"['B', 'F#', 'E', 'G#m', 'F#m']","['B', 'B', 'B', 'B', 'B', 'B', 'F#', 'F#', 'E', 'E', 'B', 'B', 'B', 'F#', 'E', 'B', 'F#', 'E', 'B', 'F#', 'E', 'B', 'E', 'G#m', 'F#', 'E', 'G#m', 'F#', 'E', 'G#m', 'F#', 'E', 'B', 'B', 'F#', 'F#', 'E', 'E', 'B', 'B', 'B', 'F#', 'E', 'B', 'F#', 'E', 'B', 'E', 'G#m', 'F#', 'E', 'G#m', 'F#', 'E', 'G#m', 'F#', 'E', 'B', 'B', 'F#', 'F#', 'E', 'E', 'B', 'B', 'B', 'F#', 'E', 'B', 'F#', 'E', 'B', 'F#m', 'E']",5,74
Wonderwall,Oasis,https://guitartuna.com/chords/wonderwall-oasis-easy-guitar-chords-60b5c03ca597073ccc5707ab,F# minor,87,2,1995,Rock,"['Em', 'G', 'D', 'A', 'C']","['Em', 'G', 'D', 'A', 'Em', 'G', 'D', 'A', 'Em', 'G', 'D', 'A', 'Em', 'G', 'D', 'A', 'Em', 'G', 'D', 'A', 'Em', 'G', 'D', 'A', 'Em', 'G', 'D', 'A', 'C', 'D', 'A', 'Em', 'G', 'D', 'A', 'Em', 'G', 'D', 'A', 'Em', 'G', 'D', 'A', 'Em', 'G', 'D', 'A', 'C', 'D', 'Em', 'C', 'D', 'Em', 'C', 'D', 'G', 'D', 'Em', 'G', 'A', 'C', 'Em', 'G', 'Em', 'C', 'Em', 'G', 'Em', 'C', 'Em', 'G', 'Em', 'C', 'Em', 'G', 'Em', 'A', 'Em', 'G', 'D', 'A', 'Em', 'G', 'D', 'A', 'Em', 'G', 'D', 'A', 'Em', 'G', 'D', 'A', 'C', 'D', 'Em', 'C', 'D', 'Em', 'C', 'D', 'G', 'D', 'Em', 'G', 'A', 'C', 'Em', 'G', 'Em', 'C', 'Em', 'G', 'Em', 'C', 'Em', 'G', 'Em', 'C', 'Em', 'G', 'Em', 'C', 'Em', 'G', 'Em', 'C', 'Em', 'G', 'Em', 'C', 'Em', 'G', 'Em', 'C', 'Em', 'G', 'Em', 'C', 'Em', 'G', 'Em', 'C', 'Em', 'G', 'Em', 'C', 'Em', 'G', 'Em', 'C', 'Em', 'G', 'Em', 'C', 'Em', 'G', 'Em', 'C', 'Em', 'G', 'Em', 'C', 'Em', 'G', 'Em', 'C', 'Em', 'G', 'Em']",5,170
Knockin' On Heaven's Door,Bob Dylan,https://guitartuna.com/chords/knockin-on-heavens-door-bob-dylan-easy-guitar-chords-61097583addec83eff2f0fac,G major,70,0,1973,Folk,"['G', 'D', 'Am', 'C']","['G', 'D', 'Am', 'G', 'D', 'C', 'G', 'D', 'Am', 'G', 'D', 'C', 'G', 'D', 'Am', 'G', 'D', 'C', 'G', 'D', 'Am', 'G', 'D', 'C', 'G', 'D', 'Am', 'G', 'D', 'C', 'G', 'D', 'Am', 'G', 'D', 'C', 'G', 'D', 'Am', 'G', 'D', 'C', 'G', 'D', 'Am', 'G', 'D', 'C', 'G', 'D', 'Am', 'G', 'D', 'C', 'G', 'D', 'Am', 'G', 'D', 'C', 'G', 'D', 'Am']",4,63
Let It Be,The Beatles,https://guitartuna.com/chords/let-it-be-the-beatles-easy-guitar-chords-6123502f008f08bd22203e82,C major,72,0,1970,Rock,"['C', 'G', 'Am', 'F']","['C', 'G', 'Am', 'F', 'C', 'G', 'F', 'C', 'C', 'G', 'Am', 'F', 'C', 'G', 'F', 'C', 'G', 'Am', 'F', 'C', 'G', 'F', 'C', 'Am', 'G', 'F', 'C', 'G', 'F', 'C', 'C', 'G', 'Am', 'F', 'C', 'G', 'F', 'C', 'G', 'Am', 'F', 'C', 'G', 'F', 'C', 'Am', 'G', 'F', 'C', 'C', 'G', 'F', 'C', 'Am', 'G', 'F', 'C', 'G', 'F', 'C', 'F', 'C', 'G', 'F', 'C', 'F', 'C', 'G', 'F', 'C', 'C', 'G', 'Am', 'F', 'C', 'G', 'F', 'C', 'C', 'G', 'Am', 'F', 'C', 'G', 'F', 'C', 'Am', 'G', 'F', 'C', 'C', 'G', 'F', 'C', 'C', 'G', 'Am', 'F', 'C', 'G', 'F', 'C', 'G', 'Am', 'F', 'C', 'G', 'F', 'C', 'Am', 'G', 'F', 'C', 'C', 'G', 'F', 'C', 'Am', 'G', 'F', 'C', 'C', 'G', 'F', 'C', 'Am', 'G', 'F', 'C', 'C', 'G', 'F', 'C', 'F', 'C', 'G', 'F', 'C']",4,138
I'm Yours,Jason Mraz,https://guitartuna.com/chords/im-yours-jason-mraz-easy-guitar-chords-605af861598d47ed3cc73d81,B major,75,4,2008,Reggae,"['G', 'D', 'Em', 'C', 'A']","['G', 'D', 'Em', 'C', 'G', 'D', 'Em', 'C', 'G', 'D', 'Em', 'C', 'G', 'D', 'Em', 'C', 'G', 'D', 'Em', 'C', 'G', 'D', 'Em', 'C', 'G', 'D', 'Em', 'C', 'A', 'G', 'D', 'Em', 'C', 'G', 'D', 'Em', 'C', 'G', 'D', 'Em', 'D', 'C', 'A', 'G', 'D', 'Em', 'D', 'C', 'A', 'G', 'D', 'Em', 'C', 'G', 'D', 'Em', 'C', 'G', 'D', 'Em', 'C', 'G', 'D', 'Em', 'C', 'G', 'D', 'Em', 'C', 'A', 'G', 'D', 'Em', 'C']",5,74
Ella,Junior H,https://guitartuna.com/chords/ella-junior-h-easy-guitar-chords-61c378d1f2c269f83236c002,E minor,92,0,2019,Latin,"['Em', 'Am', 'B', 'D']","['Em', 'Em', 'Am', 'Am', 'Em', 'Em', 'B', 'B', 'B', 'Em', 'Em', 'Em', 'Em', 'Am', 'Am', 'Am', 'Am', 'Em', 'Em', 'Em', 'Em', 'Am', 'Am', 'Am', 'D', 'B', 'Em', 'Am', 'Em', 'Am', 'D', 'B', 'Em', 'Am', 'D', 'B', 'Em', 'Am', 'Em', 'Am', 'Em', 'Em', 'Em', 'Em', 'Am', 'Am', 'Am', 'D', 'B', 'Em', 'Em', 'Em', 'Em', 'Am', 'Am', 'Am', 'D', 'B', 'Em', 'Am', 'Em', 'Am', 'Em', 'Am', 'Em', 'Am', 'Em', 'Em', 'Em', 'Em', 'Am', 'Am', 'Am', 'Am', 'Em', 'Em', 'Em', 'Em', 'Am', 'Am', 'Am', 'Am', 'Em']",4,83
Sweet Home Alabama,Lynyrd Skynyrd,https://guitartuna.com/chords/sweet-home-alabama-lynyrd-skynyrd-easy-guitar-chords-6110d031e7f52a39523a13a2,G major,98,0,1974,Rock,"['D', 'C', 'G', 'F']","['D', 'C', 'G', 'D', 'C', 'G', 'D', 'C', 'G', 'D', 'C', 'G', 'D', 'C', 'G', 'D', 'C', 'G', 'D', 'C', 'G', 'D', 'C', 'G', 'D', 'C', 'G', 'D', 'C', 'G', 'D', 'C', 'G', 'D', 'C', 'G', 'D', 'C', 'G', 'D', 'C', 'G', 'D', 'C', 'G', 'C', 'D', 'C', 'G', 'C', 'D', 'C', 'G', 'C', 'D', 'C', 'G', 'F', 'C', 'D', 'C', 'G', 'D', 'C', 'G', 'D', 'C', 'G', 'F', 'C', 'D', 'C', 'G', 'D', 'C', 'G', 'D', 'C', 'G', 'D', 'C', 'G', 'C', 'D', 'C', 'G', 'C', 'D', 'C', 'G', 'C', 'D', 'C', 'G', 'D', 'C', 'G', 'D', 'C', 'G', 'D', 'C', 'G', 'D', 'C', 'G', 'D', 'C', 'G', 'D', 'C', 'G', 'D', 'C', 'G', 'D', 'C', 'G', 'D', 'C', 'G', 'D', 'C', 'G', 'D', 'C', 'G', 'D', 'C', 'G', 'D', 'C', 'G', 'D', 'C', 'G', 'D', 'C', 'G', 'C', 'D', 'C', 'G', 'C', 'D', 'C', 'G', 'C', 'D', 'C', 'G', 'F', 'C', 'D', 'C', 'G', 'C', 'D', 'C', 'G', 'C', 'D', 'C', 'G', 'C', 'D', 'C', 'G', 'D', 'C', 'G', 'D', 'C', 'G', 'D', 'C', 'G', 'D', 'C', 'G']",4,180
Drivers License,Olivia Rodrigo,https://guitartuna.com/chords/drivers-license-olivia-rodrigo-easy-guitar-chords-611f97663942353ce30c2ce1,Bb major,74,3,2021,Pop,"['A#', 'Gm', 'D#', 'F', 'Dm', 'Cm']","['A#', 'Gm', 'D#', 'A#', 'A#', 'Gm', 'D#', 'A#', 'D#', 'A#', 'D#', 'A#', 'Gm', 'F', 'A#', 'Dm', 'D#', 'Cm', 'F', 'A#', 'A#', 'Gm', 'D#', 'A#', 'D#', 'A#', 'D#', 'A#', 'Gm', 'F', 'A#', 'Dm', 'D#', 'Cm', 'F', 'A#', 'Gm', 'D#', 'A#', 'F', 'Gm', 'D#', 'A#', 'F', 'Gm', 'D#', 'A#', 'F', 'Gm', 'D#', 'A#', 'F', 'D#', 'A#', 'D#', 'A#', 'Gm', 'F', 'Dm', 'F', 'D#', 'Cm', 'F', 'A#', 'Cm', 'F', 'Gm']",6,67
All Of Me,John Legend,https://guitartuna.com/chords/all-of-me-john-legend-easy-guitar-chords-60b4bbe8d1d0b74b3c5d2b29,F minor,64,1,2013,Pop,"['Fm', 'C#', 'G#', 'D#', 'A#m']","['Fm', 'C#', 'G#', 'D#', 'Fm', 'C#', 'G#', 'D#', 'Fm', 'C#', 'G#', 'D#', 'Fm', 'C#', 'G#', 'D#', 'Fm', 'C#', 'G#', 'D#', 'A#m', 'G#', 'D#', 'A#m', 'G#', 'D#', 'G#', 'Fm', 'C#', 'D#', 'G#', 'Fm', 'C#', 'D#', 'Fm', 'C#', 'G#', 'D#', 'Fm', 'C#', 'G#', 'D#', 'Fm', 'C#', 'G#', 'D#', 'Fm', 'C#', 'G#', 'D#', 'Fm', 'C#', 'G#', 'D#', 'Fm', 'C#', 'G#', 'D#', 'A#m', 'G#', 'D#', 'A#m', 'G#', 'D#', 'G#', 'Fm', 'C#', 'D#', 'G#', 'Fm', 'C#', 'D#', 'Fm', 'C#', 'G#', 'D#', 'Fm', 'C#', 'G#', 'D#', 'A#m', 'G#', 'D#', 'A#m', 'G#', 'D#', 'G#', 'Fm', 'C#', 'D#', 'G#', 'Fm', 'C#', 'D#', 'Fm', 'C#', 'G#', 'D#', 'Fm', 'C#', 'G#', 'D#', 'Fm', 'C#', 'G#', 'D#', 'Fm', 'C#', 'G#', 'D#']",5,110
American Pie,Don McLean,https://guitartuna.com/chords/american-pie-don-mclean-easy-guitar-chords-610a1dd71beff32aaef89cad,G major,138,0,1971,Folk,"['G', 'D', 'Em', 'Am', 'C', 'A']","['G', 'D', 'Em', 'Am', 'C', 'Em', 'D', 'G', 'D', 'Em', 'Am', 'C', 'Em', 'C', 'D', 'Em', 'Am', 'Em', 'Am', 'C', 'G', 'Am', 'C', 'D', 'G', 'D', 'Em', 'C', 'D', 'G', 'D', 'Em', 'C', 'D', 'G', 'G', 'C', 'G', 'D', 'G', 'C', 'G', 'D', 'G', 'C', 'G', 'D', 'Em', 'A', 'Em', 'D', 'G', 'Am', 'C', 'Am', 'Em', 'D', 'G', 'D', 'Em', 'Am', 'C', 'Em', 'A', 'D', 'Em', 'D', 'Em', 'D', 'C', 'G', 'Am', 'C', 'D', 'G', 'D', 'Em', 'Am', 'C', 'G', 'D', 'Em', 'C', 'D', 'G', 'C', 'G', 'D', 'G', 'C', 'G', 'D', 'G', 'C', 'G', 'D', 'G', 'C', 'G', 'D', 'Em', 'A', 'Em', 'D', 'G', 'Am', 'C', 'Am', 'Em', 'D', 'G', 'D', 'Em', 'Am', 'C', 'Em', 'A', 'D', 'Em', 'D', 'Em', 'D', 'C', 'G', 'Am', 'C', 'D', 'G', 'D', 'Em', 'Am', 'C', 'G', 'D', 'Em', 'C', 'D', 'G', 'C', 'G', 'D', 'G', 'C', 'G', 'D', 'G', 'C', 'G', 'D', 'G', 'C', 'G', 'D', 'Em', 'A', 'Em', 'D', 'G', 'Am', 'C', 'Am', 'Em', 'D', 'G', 'D', 'Em', 'Am', 'C', 'Em', 'A', 'D', 'Em', 'D', 'Em', 'D', 'C', 'G', 'Am', 'C', 'D', 'G', 'D', 'Em', 'Am', 'C', 'G', 'D', 'Em', 'C', 'D', 'G', 'C', 'G', 'D', 'G', 'C', 'G', 'D', 'G', 'C', 'G', 'D', 'G', 'C', 'G', 'D', 'Em', 'A', 'Em', 'D', 'G', 'Am', 'C', 'Am', 'Em', 'D', 'G', 'D', 'Em', 'Am', 'C', 'Em', 'A', 'D', 'Em', 'D', 'Em', 'D', 'C', 'G', 'Am', 'C', 'D', 'G', 'D', 'Em', 'Am', 'C', 'G', 'D', 'Em', 'C', 'D', 'G', 'C', 'G', 'D', 'G', 'C', 'G', 'D', 'G', 'C', 'G', 'D', 'G', 'C', 'G', 'D', 'Em', 'A', 'Em', 'D', 'G', 'D', 'Em', 'Am', 'C', 'Em', 'D', 'G', 'D', 'Em', 'Am', 'C', 'Em', 'C', 'D', 'Em', 'Am', 'Em', 'Am', 'C', 'G', 'Am', 'C', 'D', 'G', 'D', 'Em', 'C', 'D', 'G', 'D', 'Em', 'C', 'D', 'G', 'G', 'C', 'G', 'D', 'G', 'C', 'G', 'D', 'G', 'C', 'G', 'D', 'Em', 'A', 'Em', 'D', 'G', 'C', 'G', 'D', 'G', 'C', 'G', 'D', 'G', 'C', 'G', 'D', 'C', 'D', 'G', 'C', 'G']",6,331
The House Of The Rising Sun,The Animals,https://guitartuna.com/chords/the-house-of-the-rising-sun-the-animals-easy-guitar-chords-611f8c09c542b4a9545f9146,A minor,116,0,1964,Rock,"['Am', 'C', 'D', 'F', 'E', 'Dm']","['Am', 'C', 'D', 'F', 'Am', 'E', 'Am', 'E', 'Am', 'C', 'D', 'F', 'Am', 'C', 'E', 'Am', 'C', 'D', 'F', 'Am', 'E', 'Am', 'C', 'D', 'F', 'Am', 'E', 'Am', 'E', 'Am', 'C', 'D', 'F', 'Am', 'C', 'E', 'Am', 'C', 'D', 'F', 'Am', 'E', 'Am', 'C', 'D', 'F', 'Am', 'E', 'Am', 'E', 'Am', 'C', 'D', 'F', 'Am', 'C', 'E', 'Am', 'C', 'D', 'F', 'Am', 'E', 'Am', 'C', 'D', 'F', 'Am', 'E', 'Am', 'E', 'Am', 'C', 'D', 'F', 'Am', 'C', 'E', 'E', 'Am', 'C', 'D', 'F', 'Am', 'E', 'Am', 'C', 'D', 'F', 'Am', 'E', 'Am', 'E', 'Am', 'C', 'D', 'F', 'Am', 'C', 'E', 'Am', 'C', 'D', 'F', 'Am', 'E', 'Am', 'C', 'D', 'F', 'Am', 'E', 'Am', 'E', 'Am', 'C', 'D', 'F', 'Am', 'C', 'E', 'Am', 'C', 'D', 'F', 'Am', 'E', 'Am', 'C', 'D', 'F', 'Am', 'E', 'Am', 'E', 'Am', 'C', 'D', 'F', 'Am', 'C', 'E', 'Am', 'C', 'D', 'F', 'Am', 'E', 'Am', 'C', 'D', 'F', 'Am', 'E', 'Am', 'Dm', 'Am', 'Dm', 'Am', 'Dm', 'Am', 'Dm', 'Am', 'Dm', 'Am']",6,165
Behind Blue Eyes,The Who,https://guitartuna.com/chords/behind-blue-eyes-the-who-easy-guitar-chords-60e692e38441cf0e90d86c08,E minor,62,0,1971,Rock,"['Em', 'G', 'D', 'C', 'A', 'E', 'Bm', 'B']","['Em', 'Em', 'Em', 'G', 'D', 'C', 'A', 'Em', 'G', 'D', 'C', 'A', 'C', 'D', 'G', 'C', 'D', 'E', 'Bm', 'C', 'D', 'A', 'Em', 'G', 'D', 'C', 'A', 'Em', 'G', 'D', 'C', 'A', 'C', 'D', 'G', 'C', 'D', 'E', 'Bm', 'C', 'D', 'A', 'E', 'Bm', 'A', 'E', 'Bm', 'A', 'E', 'Bm', 'A', 'E', 'Bm', 'G', 'D', 'Bm', 'A', 'D', 'Bm', 'A', 'E', 'Bm', 'A', 'E', 'Bm', 'A', 'E', 'Bm', 'G', 'D', 'Bm', 'A', 'D', 'Bm', 'A', 'E', 'Bm', 'A', 'E', 'Bm', 'A', 'B', 'A', 'G', 'D', 'B', 'A', 'G', 'D', 'B', 'A', 'G', 'D', 'B', 'B', 'Em', 'G', 'D', 'C', 'A']",8,100
Dust In The Wind,Kansas,https://guitartuna.com/chords/dust-in-the-wind-kansas-easy-guitar-chords-60b76c872e1084a7be8dbfbb,A minor,94,0,1977,Folk,"['C', 'Am', 'G', 'Dm', 'D', 'F']","['C', 'C', 'Am', 'Am', 'C', 'C', 'Am', 'Am', 'G', 'C', 'G', 'Am', 'G', 'Dm', 'Am', 'G', 'C', 'G', 'Am', 'G', 'Dm', 'Am', 'D', 'G', 'Am', 'D', 'G', 'Am', 'G', 'C', 'G', 'Am', 'G', 'Dm', 'Am', 'G', 'C', 'G', 'Am', 'G', 'Dm', 'Am', 'D', 'G', 'Am', 'D', 'G', 'Am', 'G', 'F', 'Dm', 'F', 'Am', 'G', 'F', 'Dm', 'F', 'Am', 'G', 'F', 'Dm', 'F', 'C', 'C', 'Am', 'Am', 'C', 'C', 'Am', 'Am', 'G', 'C', 'G', 'Am', 'G', 'Dm', 'Am', 'G', 'C', 'G', 'Am', 'G', 'Dm', 'Am', 'D', 'G', 'Am', 'D', 'G', 'Am', 'D', 'G', 'Am', 'D', 'G', 'Am', 'Am', 'Am', 'Am', 'Am', 'Am', 'Am', 'Am']",6,103
"Take Me Home, Country Roads",John Denver,https://guitartuna.com/chords/take-me-home-country-roads-john-denver-easy-guitar-chords-60ddaae126c0f8cc861128fb,A major,82,2,1971,Country,"['A', 'F#m', 'E', 'D', 'G']","['A', 'A', 'A', 'F#m', 'E', 'D', 'A', 'A', 'F#m', 'E', 'D', 'A', 'A', 'E', 'F#m', 'D', 'A', 'E', 'D', 'A', 'A', 'F#m', 'E', 'D', 'A', 'A', 'F#m', 'E', 'D', 'A', 'A', 'E', 'F#m', 'D', 'A', 'E', 'D', 'A', 'F#m', 'E', 'A', 'D', 'A', 'E', 'F#m', 'G', 'D', 'A', 'E', 'E', 'A', 'E', 'F#m', 'D', 'A', 'E', 'D', 'A', 'A', 'E', 'F#m', 'D', 'A', 'E', 'D', 'A', 'E', 'A', 'E', 'A']",5,70
Can't Help Falling In Love,Elvis Presley,https://guitartuna.com/chords/cant-help-falling-in-love-elvis-presley-easy-guitar-chords-61c766a4b213f92a0bf89205,D major,50,2,1961,Pop,"['D', 'A', 'F#m', 'Bm', 'G', 'C#', 'B', 'Em']","['D', 'A', 'D', 'D', 'F#m', 'Bm', 'D', 'G', 'D', 'A', 'G', 'A', 'Bm', 'G', 'D', 'A', 'D', 'D', 'F#m', 'Bm', 'D', 'G', 'D', 'A', 'G', 'A', 'Bm', 'G', 'D', 'A', 'D', 'F#m', 'C#', 'F#m', 'C#', 'F#m', 'C#', 'F#m', 'B', 'Em', 'A', 'D', 'F#m', 'Bm', 'D', 'G', 'D', 'A', 'G', 'A', 'Bm', 'G', 'D', 'A', 'D', 'F#m', 'C#', 'F#m', 'C#', 'F#m', 'C#', 'F#m', 'B', 'Em', 'A', 'D', 'F#m', 'Bm', 'D', 'G', 'D', 'A', 'G', 'A', 'Bm', 'G', 'D', 'A', 'D', 'G', 'A', 'Bm', 'G', 'D', 'A', 'D']",8,86
Crazy Little Thing Called Love,Queen,https://guitartuna.com/chords/crazy-little-thing-called-love-queen-easy-guitar-chords-60c094a7dd40eea46fb92482,D major,154,0,1980,Rock,"['D', 'G', 'C', 'A#', 'E', 'A', 'F']","['D', 'D', 'D', 'D', 'D', 'G', 'C', 'G', 'D', 'G', 'C', 'G', 'D', 'A#', 'C', 'D', 'D', 'G', 'C', 'G', 'D', 'G', 'C', 'G', 'D', 'A#', 'C', 'D', 'G', 'C', 'G', 'A#', 'E', 'A', 'F', 'E', 'A', 'D', 'G', 'C', 'G', 'D', 'G', 'C', 'G', 'D', 'A#', 'C', 'D', 'A#', 'A#', 'D', 'G', 'D', 'A#', 'A#', 'E', 'A', 'F', 'E', 'A', 'D', 'G', 'C', 'G', 'D', 'G', 'C', 'G', 'D', 'A#', 'C', 'D', 'A#', 'C', 'D', 'A#', 'C', 'D', 'A#', 'C', 'D']",7,82
Let Her Go,Passenger,https://guitartuna.com/chords/let-her-go-passenger-easy-guitar-chords-60b4c413292dfb614eecf3aa,G major,75,7,2012,Pop,"['F', 'G', 'Am', 'C', 'Em']","['F', 'G', 'Am', 'G', 'F', 'G', 'Am', 'G', 'F', 'G', 'Am', 'G', 'F', 'G', 'Am', 'G', 'F', 'C', 'G', 'Am', 'F', 'C', 'G', 'F', 'C', 'G', 'Am', 'F', 'C', 'G', 'Am', 'F', 'G', 'Em', 'Am', 'F', 'G', 'Am', 'F', 'G', 'Em', 'Am', 'F', 'G', 'Am', 'F', 'G', 'Em', 'Am', 'F', 'G', 'F', 'C', 'G', 'Am', 'F', 'C', 'G', 'F', 'C', 'G', 'Am', 'F', 'C', 'G', 'Am', 'F', 'G', 'Em', 'Am', 'F', 'G', 'Am', 'F', 'G', 'Em', 'Am', 'F', 'G', 'F', 'C', 'G', 'Am', 'F', 'C', 'G', 'F', 'C', 'G', 'Am', 'F', 'C', 'G', 'Am', 'F', 'G', 'Am', 'F', 'G', 'Am', 'F', 'G', 'Em', 'Am', 'F', 'G', 'F', 'C', 'G', 'Am', 'F', 'C', 'G', 'F', 'C', 'G', 'Am', 'F', 'C', 'G', 'F', 'C', 'G', 'Am', 'F', 'C', 'G']",5,127
Losing My Religion,R.E.M.,https://guitartuna.com/chords/losing-my-religion-rem-easy-guitar-chords-610a4d27e456b6ff280c220d,A minor,124,0,1991,Rock,"['F', 'Dm', 'G', 'Am', 'Em', 'C', 'D']","['F', 'Dm', 'G', 'Am', 'Am', 'F', 'Dm', 'G', 'Am', 'G', 'Am', 'Em', 'Am', 'Em', 'Am', 'Em', 'Dm', 'G', 'Am', 'Em', 'Am', 'Em', 'Am', 'Em', 'Dm', 'G', 'F', 'Dm', 'G', 'Am', 'F', 'Dm', 'G', 'Am', 'G', 'Am', 'Em', 'Am', 'Em', 'Am', 'Em', 'Dm', 'G', 'Am', 'Em', 'Am', 'Em', 'Am', 'Em', 'Dm', 'G', 'F', 'Dm', 'G', 'Am', 'F', 'Dm', 'G', 'Am', 'G', 'Am', 'G', 'F', 'G', 'C', 'D', 'C', 'D', 'Am', 'Em', 'Am', 'Em', 'Am', 'Em', 'Dm', 'G', 'F', 'Dm', 'G', 'Am', 'F', 'Dm', 'G', 'Am', 'F', 'Dm', 'G', 'Am', 'F', 'Dm', 'G', 'Am', 'G', 'Am', 'Am', 'Am', 'Am', 'Am', 'Am', 'Am', 'Am']",7,101
Love Yourself,Justin Bieber,https://guitartuna.com/chords/love-yourself-justin-bieber-easy-guitar-chords-611df2bf4054787decaab2f4,E major,100,4,2015,Pop,"['E', 'B', 'C#m', 'F#m', 'A']","['E', 'B', 'C#m', 'F#m', 'E', 'B', 'E', 'B', 'C#m', 'F#m', 'E', 'B', 'E', 'B', 'C#m', 'F#m', 'E', 'B', 'E', 'B', 'C#m', 'F#m', 'E', 'B', 'C#m', 'A', 'E', 'C#m', 'A', 'E', 'C#m', 'A', 'E', 'B', 'C#m', 'A', 'B', 'E', 'B', 'C#m', 'A', 'E', 'A', 'E', 'B', 'C#m', 'A', 'E', 'A', 'E', 'E', 'B', 'C#m', 'F#m', 'E', 'B', 'E', 'B', 'C#m', 'F#m', 'E', 'B', 'E', 'B', 'C#m', 'F#m', 'E', 'B', 'E', 'B', 'C#m', 'F#m', 'E', 'B', 'C#m', 'A', 'E', 'C#m', 'A', 'E', 'C#m', 'A', 'E', 'B', 'C#m', 'A', 'B', 'E', 'B', 'C#m', 'A', 'E', 'A', 'E', 'B', 'C#m', 'A', 'E', 'A', 'E', 'E', 'B', 'C#m', 'A', 'E', 'A', 'E', 'E', 'B', 'C#m', 'A', 'E', 'A', 'E', 'E', 'B', 'C#m', 'F#m', 'E', 'B', 'E', 'B', 'C#m', 'F#m', 'E', 'B', 'E', 'B', 'C#m', 'A', 'E', 'A', 'E', 'B', 'C#m', 'A', 'E', 'A', 'E', 'E', 'B', 'C#m', 'A', 'E', 'A', 'E', 'B', 'C#m', 'A', 'E', 'A', 'E']",5,152
Dynamite,BTS,https://guitartuna.com/chords/dynamite-bts-easy-guitar-chords-61375252666b9c234be458d4,E major,115,4,2020,Pop,"['C#m', 'F#m', 'B', 'E', 'D#m', 'G#m', 'C#', 'F#']","['C#m', 'F#m', 'B', 'E', 'C#m', 'F#m', 'B', 'E', 'C#m', 'F#m', 'B', 'E', 'C#m', 'F#m', 'B', 'E', 'C#m', 'F#m', 'B', 'E', 'C#m', 'F#m', 'B', 'E', 'C#m', 'F#m', 'B', 'E', 'C#m', 'F#m', 'B', 'E', 'C#m', 'F#m', 'B', 'E', 'C#m', 'F#m', 'B', 'E', 'C#m', 'F#m', 'B', 'E', 'C#m', 'F#m', 'B', 'E', 'C#m', 'F#m', 'B', 'E', 'C#m', 'F#m', 'B', 'E', 'C#m', 'F#m', 'B', 'E', 'C#m', 'F#m', 'B', 'E', 'C#m', 'F#m', 'B', 'E', 'C#m', 'F#m', 'B', 'E', 'C#m', 'F#m', 'B', 'E', 'C#m', 'F#m', 'B', 'E', 'C#m', 'F#m', 'B', 'E', 'C#m', 'F#m', 'B', 'E', 'E', 'C#m', 'F#m', 'B', 'E', 'C#m', 'F#m', 'B', 'E', 'C#m', 'F#m', 'B', 'E', 'C#m', 'F#m', 'B', 'E', 'C#m', 'F#m', 'B', 'E', 'C#m', 'F#m', 'B', 'D#m', 'G#m', 'C#', 'F#', 'D#m', 'G#m', 'C#', 'F#', 'D#m', 'G#m', 'C#', 'F#', 'D#m', 'G#m', 'C#', 'F#', 'D#m', 'G#m', 'C#', 'F#', 'D#m', 'G#m', 'C#', 'F#', 'D#m', 'G#m', 'C#', 'F#', 'D#m', 'G#m', 'C#', 'F#']",8,144
