naslov,izvajalec,url,kljuc,bpm,capo,leto,zanr,uporabljeni_akordi,zaporedje_akordov,stevilo_razlicnih_akordov,dolzina_zaporedja
Pesanan Buat Kekasih,Spring,https://guitartuna.com/chords/pesanan-buat-kekasih-spring-easy-guitar-chords-66fa3c59a6f2fbb8111af31a,A minor,100,0,2003,Pop,"['Am', 'Dm', 'G', 'C', 'E', 'F', 'A#', 'A']","['Am', 'Dm', 'G', 'C', 'Am', 'Dm', 'E', 'Am', 'E', 'Am', 'Dm', 'G', 'C', 'F', 'Dm', 'E', 'Am', 'Dm', 'G', 'C', 'F', 'Dm', 'E', 'Am', 'Am', 'Dm', 'G', 'C', 'F', 'A#', 'E', 'Am', 'A', 'Dm', 'G', 'C', 'F', 'A#', 'E', 'Am', 'Dm', 'G', 'C', 'F', 'Dm', 'E', 'Am', 'Dm', 'G', 'C', 'F', 'Dm', 'E', 'Am', 'E', 'Am', 'Dm', 'G', 'C', 'F', 'Dm', 'E', 'Am', 'Am', 'Am', 'F', 'Am', 'E', 'F', 'Dm', 'E', 'Am', 'Am', 'Dm', 'G', 'C', 'F', 'A#', 'E', 'Am', 'A', 'Dm', 'G', 'C', 'F', 'A#', 'E', 'Am', 'Dm', 'G', 'C', 'F', 'Dm', 'E', 'Am', 'Dm', 'G', 'C', 'F', 'Dm', 'E', 'Am', 'E', 'F', 'Dm', 'G', 'Am', 'G', 'Am']",8,109
Into The Ocean,Blue October,https://guitartuna.com/chords/into-the-ocean-blue-october-easy-guitar-chords-6217b3bd7d0e3fa4285c33b0,C major,108,0,2007,Alternative,"['C', 'Am', 'F']","['C', 'Am', 'F', 'C', 'C', 'Am', 'F', 'C', 'C', 'Am', 'F', 'C', 'C', 'Am', 'F', 'C', 'C', 'Am', 'F', 'C', 'C', 'Am', 'F', 'C', 'F', 'C']",3,26
We'll Be A Dream,"We The Kings, Demi Lovato",https://guitartuna.com/chords/well-be-a-dream-we-the-kings-demi-lovato-easy-guitar-chords-621f79d250cb7457161f8c8c,A major,80,2,2009,Rock,"['A', 'D', 'E', 'C#', 'F#m', 'Bm']","['A', 'D', 'A', 'E', 'A', 'D', 'A', 'E', 'A', 'D', 'A', 'E', 'D', 'A', 'D', 'A', 'D', 'E', 'C#', 'F#m', 'E', 'D', 'E', 'A', 'D', 'A', 'E', 'A', 'D', 'A', 'E', 'A', 'D', 'A', 'E', 'D', 'A', 'D', 'A', 'D', 'E', 'C#', 'F#m', 'E', 'D', 'E', 'F#m', 'E', 'A', 'F#m', 'E', 'A', 'F#m', 'E', 'A', 'Bm', 'E', 'D', 'A', 'D', 'A', 'D', 'E', 'C#', 'F#m', 'E', 'D', 'E', 'D', 'A', 'D', 'A', 'D', 'E', 'C#', 'F#m', 'E', 'D', 'E', 'A', 'D', 'A', 'E', 'A', 'D', 'A', 'E', 'A']",6,88
Charlie Brown,Beabadoobee,https://guitartuna.com/chords/charlie-brown-beabadoobee-easy-guitar-chords-61de3b388a202fd23331351f,C major,128,1,2020,Alternative,"['C', 'D#', 'A#', 'G#', 'F#']","['C', 'D#', 'C', 'D#', 'C', 'D#', 'A#', 'D#', 'G#', 'D#', 'G#', 'C', 'D#', 'C', 'D#', 'C', 'D#', 'C', 'D#', 'C', 'D#', 'C', 'D#', 'C', 'D#', 'A#', 'D#', 'A#', 'C', 'D#', 'C', 'D#', 'C', 'D#', 'C', 'D#', 'G#', 'D#', 'G#', 'F#', 'D#', 'D#', 'G#', 'D#', 'G#', 'D#', 'C', 'D#', 'C', 'D#', 'C', 'D#', 'C', 'D#']",5,54
To Die For,Sam Smith,https://guitartuna.com/chords/to-die-for-sam-smith-easy-guitar-chords-6217a8967d0e3fa4285bf480,C major,86,0,2020,Pop,"['F', 'Am', 'C', 'Em']","['F', 'Am', 'C', 'F', 'F', 'Am', 'C', 'F', 'Am', 'C', 'F', 'F', 'C', 'Em', 'F', 'C', 'Em', 'Am', 'F', 'C', 'Em', 'Am', 'F', 'F', 'Am', 'C', 'F', 'Am', 'C', 'F', 'F', 'C', 'Em', 'F', 'C', 'Em', 'Am', 'F', 'C', 'Em', 'Am', 'F', 'Am', 'C', 'F', 'Am', 'C', 'F', 'F', 'C', 'Em', 'Am', 'F', 'C', 'Em', 'Am', 'F', 'Am', 'C', 'F']",4,60
Sfiorivano le viole,Rino Gaetano,https://guitartuna.com/chords/sfiorivano-le-viole-rino-gaetano-easy-guitar-chords-61e9c1a21de3ef298f54e33a,D major,81,0,1976,Pop,"['G', 'A', 'Em', 'D', 'Bm']","['G', 'A', 'G', 'A', 'G', 'A', 'G', 'A', 'G', 'A', 'G', 'A', 'G', 'A', 'G', 'A', 'Em', 'A', 'Em', 'A', 'G', 'A', 'G', 'A', 'G', 'A', 'G', 'A', 'G', 'A', 'G', 'A', 'G', 'A', 'G', 'A', 'Em', 'A', 'Em', 'A', 'G', 'A', 'G', 'A', 'G', 'A', 'G', 'A', 'G', 'A', 'G', 'A', 'G', 'A', 'G', 'A', 'Em', 'A', 'Em', 'A', 'D', 'Bm', 'Em', 'A', 'D', 'Bm', 'Em', 'A', 'D', 'Bm', 'Em', 'A', 'D', 'Bm', 'Em', 'A', 'D', 'Bm', 'Em', 'A', 'D', 'Bm', 'Em', 'A', 'D', 'Bm', 'Em', 'A', 'D', 'Bm', 'Em', 'A', 'D', 'Bm', 'Em', 'A', 'D', 'Bm', 'Em', 'A', 'D', 'Bm', 'Em', 'A', 'G', 'A', 'G', 'A']",5,108
Closer,Tegan And Sara,https://guitartuna.com/chords/closer-tegan-and-sara-easy-guitar-chords-6217b3c37d0e3fa4285c33d8,C major,137,0,2013,Pop,"['C', 'F', 'G', 'Em', 'Am']","['C', 'F', 'G', 'C', 'C', 'F', 'G', 'C', 'C', 'F', 'G', 'C', 'C', 'F', 'G', 'C', 'Em', 'F', 'C', 'G', 'G', 'C', 'F', 'Am', 'C', 'G', 'C', 'G', 'F', 'Am', 'C', 'G', 'C', 'G', 'F', 'Am', 'C', 'G', 'C', 'G', 'C', 'F', 'G', 'C', 'C', 'F', 'G', 'C', 'C', 'F', 'G', 'C', 'C', 'F', 'G', 'C', 'Em', 'F', 'C', 'G', 'G', 'C', 'F', 'Am', 'C', 'G', 'C', 'G', 'F', 'Am', 'C', 'G', 'C', 'G', 'F', 'Am', 'C', 'G', 'C', 'G', 'F', 'Am', 'C', 'G', 'C', 'G', 'F', 'Am', 'G', 'Em', 'F', 'Am', 'G', 'Em', 'F', 'F', 'Am', 'G', 'Em', 'F', 'Am', 'G', 'Em', 'F', 'Am', 'C', 'G', 'C', 'G', 'F', 'Am', 'C', 'G', 'C', 'G', 'F', 'Am', 'C', 'G', 'C', 'G', 'F', 'Am', 'C', 'G', 'C', 'G', 'F', 'Am', 'C', 'G', 'C', 'G', 'F', 'Am', 'C', 'G', 'C', 'G', 'C', 'F', 'G', 'C', 'C', 'F', 'G', 'C']",5,147
A Change Of Heart,The 1975,https://guitartuna.com/chords/a-change-of-heart-the-1975-easy-guitar-chords-6217ad1d7d0e3fa4285c0bd4,F major,105,3,2016,Pop,"['F', 'A#', 'C', 'Gm']","['F', 'F', 'A#', 'C', 'F', 'A#', 'C', 'F', 'A#', 'C', 'F', 'A#', 'C', 'F', 'A#', 'C', 'F', 'C', 'C', 'F', 'A#', 'C', 'F', 'A#', 'C', 'F', 'A#', 'C', 'F', 'A#', 'C', 'F', 'A#', 'C', 'F', 'A#', 'C', 'F', 'A#', 'C', 'F', 'A#', 'C', 'F', 'A#', 'C', 'F', 'A#', 'C', 'F', 'A#', 'C', 'F', 'A#', 'C', 'F', 'A#', 'C', 'F', 'A#', 'C', 'F', 'A#', 'C', 'F', 'A#', 'C', 'F', 'A#', 'C', 'F', 'A#', 'C', 'F', 'A#', 'C', 'F', 'A#', 'C', 'F', 'A#', 'C', 'F', 'A#', 'C', 'F', 'A#', 'C', 'F', 'A#', 'C', 'F', 'A#', 'C', 'F', 'A#', 'C', 'A#', 'F', 'Gm', 'A#', 'F', 'A#', 'F', 'Gm', 'A#', 'C', 'F', 'A#', 'C', 'F', 'A#', 'C', 'F', 'A#', 'C', 'F', 'A#', 'C', 'F', 'A#', 'C', 'F', 'A#', 'C', 'F', 'A#', 'C', 'F', 'A#', 'C', 'A#', 'F', 'Gm', 'A#', 'F', 'A#', 'F', 'Gm', 'A#', 'C', 'F', 'A#', 'C', 'F', 'A#', 'C', 'F', 'A#', 'C', 'F', 'A#', 'C', 'F', 'A#', 'C', 'F', 'A#', 'C', 'F', 'A#', 'C', 'F', 'A#', 'C', 'F', 'A#', 'C', 'F', 'A#', 'C', 'F', 'A#', 'C', 'F', 'A#', 'C', 'F']",4,178
Telephone,Waterparks,https://guitartuna.com/chords/telephone-waterparks-easy-guitar-chords-629a6137da145d01637afe47,Eb major,169,3,2019,Rock,"['A#', 'Cm', 'G#', 'D#']","['A#', 'Cm', 'G#', 'A#', 'D#', 'G#', 'A#', 'Cm', 'G#', 'A#', 'D#', 'G#', 'A#', 'Cm', 'G#', 'A#', 'D#', 'G#', 'A#', 'Cm', 'G#', 'A#', 'D#', 'G#', 'A#', 'Cm', 'G#', 'A#', 'D#', 'G#', 'A#', 'Cm', 'G#', 'A#', 'D#', 'G#', 'A#', 'Cm', 'G#', 'A#', 'D#', 'G#', 'A#', 'A#', 'Cm', 'G#', 'A#', 'D#', 'G#', 'A#', 'Cm', 'G#', 'A#', 'D#', 'G#', 'A#', 'Cm', 'G#', 'A#', 'D#', 'G#', 'A#', 'Cm', 'G#', 'A#', 'D#', 'G#', 'A#', 'Cm', 'G#', 'A#', 'D#', 'G#', 'A#', 'Cm', 'G#', 'A#', 'D#', 'G#', 'A#', 'Cm', 'D#', 'Cm', 'D#', 'G#', 'G#', 'A#', 'Cm', 'G#', 'A#', 'D#', 'G#', 'A#', 'Cm', 'G#', 'A#', 'D#', 'G#', 'A#', 'Cm', 'G#', 'A#', 'D#', 'G#', 'A#', 'Cm', 'G#', 'A#', 'D#', 'G#', 'A#', 'Cm', 'G#', 'A#', 'D#', 'G#', 'A#', 'Cm', 'G#', 'A#', 'D#', 'G#', 'G#', 'A#', 'G#', 'A#']",4,126
In The Air,L.A.B.,https://guitartuna.com/chords/in-the-air-lab-easy-guitar-chords-621fd0cf50cb7457162020f5,D minor,118,0,2019,Pop,"['Dm', 'Am', 'G', 'F', 'Em']","['Dm', 'Dm', 'Am', 'G', 'Dm', 'Dm', 'Am', 'G', 'Dm', 'Dm', 'Am', 'G', 'Dm', 'Dm', 'Am', 'Dm', 'Am', 'Dm', 'Am', 'G', 'Dm', 'Am', 'G', 'Dm', 'Am', 'G', 'Dm', 'Dm', 'Am', 'G', 'Dm', 'Dm', 'Am', 'G', 'Dm', 'Dm', 'Am', 'G', 'Dm', 'Dm', 'Am', 'G', 'Dm', 'Am', 'G', 'Dm', 'Am', 'G', 'Dm', 'Am', 'G', 'Dm', 'Am', 'G', 'Dm', 'Dm', 'Am', 'G', 'Dm', 'Dm', 'Am', 'G', 'F', 'G', 'Dm', 'F', 'Em', 'Dm', 'F', 'G', 'Dm', 'F', 'Em', 'Dm', 'Dm', 'Am', 'G', 'Dm', 'Am', 'G', 'Dm', 'Am', 'G', 'Dm', 'Am', 'G', 'Dm', 'Dm', 'Am', 'G']",5,90
